train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,time/total_timesteps,time/fps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance
0.0003,41,200.0,5,-1132.20542568,40,516.9957885742188,2289.9351835489274,0.2,0.0485107421875,81920,1981,-0.002303139260766329,-1.3585484652779996,0.0075227073,6.55055046081543e-05
0.0003,90,200.0,10,-847.2384790699999,90,97.24256896972656,283.2833225131035,0.2,0.109100341796875,163840,1817,-0.01128845847251796,-1.2429937826935202,0.010192512,0.7508992105722427
0.0003,138,200.0,15,-321.08615495000004,140,3033.33203125,6424.339087939263,0.2,0.08043212890625,245760,1769,-0.007788179079034308,-1.0060163663933053,0.008918928,0.3205168843269348
0.0003,187,200.0,20,-178.93136393000003,190,5420.919921875,12361.221280694008,0.2,0.049200439453125,327680,1745,-0.0016940427463850937,-1.0284173094667495,0.006019442,0.29009753465652466
0.0003,236,200.0,25,-189.84252745000006,240,397.5689392089844,13321.410913610458,0.2,0.0494140625,409600,1730,-0.0009175961124128662,-1.0172418554546312,0.004036232,0.313711941242218
0.0003,286,200.0,30,-179.30369457,290,700.3253784179688,11154.99343738556,0.2,0.0568359375,491520,1713,-0.0014958132018364268,-1.0089246108429506,0.0068588583,0.3333812355995178
0.0003,336,200.0,35,-161.91378272,340,1769.4639892578125,15389.272920584679,0.2,0.027716064453125,573440,1701,0.0005673667299561202,-0.9844925610581413,0.0040793284,0.28955012559890747
0.0003,387,200.0,40,-165.77516661,390,8487.6279296875,14164.035430788994,0.2,0.044891357421875,655360,1691,-0.00029113091113686096,-0.9325579741271213,0.0050829565,0.28560131788253784
0.0003,437,200.0,45,-169.68973278,440,6988.63671875,14705.031428551674,0.2,0.05540771484375,737280,1686,-0.0010460512066856609,-0.9424872884294018,0.0046812897,0.2720819115638733
0.0003,487,200.0,50,-147.33705731999999,490,1505.7783203125,16634.043312835693,0.2,0.039190673828125,819200,1679,-0.0003603833283705171,-0.9282500556204468,0.003082734,0.23538625240325928
0.0003,538,200.0,55,-167.91023261,540,7654.8515625,20334.353572368622,0.2,0.031646728515625,901120,1674,-0.0001720041243970627,-0.8989441675366834,0.0036529321,0.24178725481033325
